"id","code_insee","code_postal","ville"
584,"02163","02310","CHARLY SUR MARNE"
585,"02164","02850","LE CHARMEL"
586,"02165","02800","CHARMES"
587,"02166","02400","CHARTEVES"
588,"02167","02370","CHASSEMY"
589,"02168","02400","CHATEAU THIERRY"
590,"02169","02270","CHATILLON LES SONS"
591,"02170","02240","CHATILLON SUR OISE"
592,"02171","02160","CHAUDARDES"
593,"02172","02200","CHAUDUN"
594,"02173","02300","CHAUNY"
595,"02174","02000","CHAVIGNON"
596,"02175","02880","CHAVIGNY"
597,"02176","02370","CHAVONNE"
598,"02177","02860","CHERET"
599,"02178","02860","CHERMIZY AILLES"
600,"02179","02220","CHERY CHARTREUVE"
601,"02180","02000","CHERY LES POUILLY"
602,"02181","02360","CHERY LES ROZOY"
603,"02182","02250","CHEVENNES"
604,"02183","02000","CHEVREGNY"
605,"02184","02270","CHEVRESIS MONCEAU"
606,"02185","02810","CHEZY EN ORXOIS"
607,"02186","02570","CHEZY SUR MARNE"
608,"02187","02400","CHIERRY"
609,"02188","02120","CHIGNY"
610,"02189","02350","CHIVRES EN LAONNOIS"
611,"02190","02880","CHIVRES VAL"
612,"02191","02000","CHIVY LES ETOUVELLES"
613,"02192","02210","CHOUY"
614,"02193","02130","CIERGES"
615,"02194","02250","CILLY"
616,"02195","02220","CIRY SALSOGNE"
617,"02196","02000","CLACY ET THIERRET"
618,"02197","02260","CLAIRFONTAINE"
619,"02198","02880","CLAMECY"
620,"02199","02440","CLASTRES"
621,"02200","02340","CLERMONT LES FERMES"
622,"02201","02600","COEUVRES ET VALSERY"
623,"02203","02210","COINCY"
624,"02204","02360","COINGT"
625,"02205","02860","COLLIGIS CRANDELAIN"
626,"02206","02120","COLONFAY"
627,"02207","02300","COMMENCHON"
628,"02208","02160","CONCEVREUX"
629,"02209","02330","CONDE EN BRIE"
630,"02210","02370","CONDE SUR AISNE"
631,"02211","02190","CONDE SUR SUIPPE"
632,"02212","02700","CONDREN"
633,"02213","02330","CONNIGIS"
634,"02214","02680","CONTESCOURT"
635,"02215","02820","CORBENY"
636,"02216","02600","CORCY"
637,"02217","02380","COUCY LE CHATEAU AUFFRIQUE"
638,"02218","02840","COUCY LES EPPES"
639,"02219","02380","COUCY LA VILLE"
640,"02220","02130","COULONGES COHAN"
641,"02221","02310","COUPRU"
642,"02222","02800","COURBES"
643,"02223","02330","COURBOIN"
644,"02224","02220","COURCELLES SUR VESLE"
645,"02225","02810","COURCHAMPS"
646,"02226","02200","COURMELLES"
647,"02227","02130","COURMONT"
648,"02228","02850","COURTEMONT VARENNES"
649,"02229","02820","COURTRIZY ET FUSSIGNY"
650,"02230","02220","COUVRELLES"
651,"02231","02270","COUVRON ET AUMENCOURT"
652,"02232","02600","COYOLLES"
653,"02233","02130","CRAMAILLE"
654,"02234","02160","CRAONNE"
655,"02235","02160","CRAONNELLE"
656,"02236","02380","CRECY AU MONT"
657,"02237","02270","CRECY SUR SERRE"
658,"02238","02870","CREPY"
659,"02239","02650","CREZANCY"
660,"02240","02110","CROIX FONSOMME"
661,"02241","02210","LA CROIX SUR OURCQ"
662,"02242","02310","CROUTTES SUR MARNE"
663,"02243","02880","CROUY"
664,"02244","02120","CRUPILLY"
665,"02245","02880","CUFFIES"
666,"02246","02480","CUGNY"
667,"02248","02350","CUIRIEUX"
668,"02249","02220","CUIRY HOUSSE"
669,"02250","02160","CUIRY LES CHAUDARDES"
670,"02251","02360","CUIRY LES IVIERS"
671,"02252","02160","CUISSY ET GENY"
672,"02253","02200","CUISY EN ALMONT"
673,"02254","02600","CUTRY"
674,"02255","02220","CYS LA COMMUNE"
675,"02256","02140","DAGNY LAMBERCY"
676,"02257","02680","DALLON"
677,"02258","02470","DAMMARD"
678,"02259","02600","DAMPLEUX"
679,"02260","02800","DANIZY"
680,"02261","02270","DERCY"
681,"02262","02700","DEUILLET"
682,"02263","02220","DHUIZEL"
683,"02264","02340","DIZY LE GROS"
684,"02265","02360","DOHIS"
685,"02266","02360","DOLIGNON"
686,"02267","02600","DOMMIERS"
687,"02268","02310","DOMPTIN"
688,"02269","02450","DORENGT"
689,"02270","02590","DOUCHY"
690,"02271","02130","DRAVEGNY"
691,"02272","02210","DROIZY"
692,"02273","02480","DURY"
693,"02274","02350","EBOULEAU"
694,"02275","02500","EFFRY"
695,"02276","02260","ENGLANCOURT"
696,"02277","02290","EPAGNY"
697,"02278","02500","EPARCY"
698,"02279","02400","EPAUX BEZU"
699,"02280","02400","EPIEDS"
700,"02281","02540","L EPINE AUX BOIS"
701,"02282","02840","EPPES"
702,"02283","02250","ERLON"
703,"02284","02260","ERLOY"
704,"02286","02170","ESQUEHERIES"
705,"02287","02690","ESSIGNY LE GRAND"
706,"02288","02100","ESSIGNY LE PETIT"
707,"02289","02570","ESSISES"
